data.name,date,eur,inr,usd,btc,eth,ltc,xrp
XRP,10-07-2021,0.540926499,47.86018284,0.642499197,1.89E-05,0.000297807,,
TRON,10-07-2021,0.052687472,4.661690716,0.062580884,1.84E-06,2.90E-05,,
Cardano,10-07-2021,1.141917435,101.0347567,1.356341456,3.99E-05,0.000628866,,
Chainlink,10-07-2021,15.76857651,1395.174679,18.72952751,0.000551125,0.008681395,,
Tether,10-07-2021,0.844723125,74.73955013,1.003341361,2.95E-05,0.000462315,,
Uniswap,10-07-2021,17.7585868,1571.247133,21.09321281,0.000620706,0.009779842,,
Stellar,10-07-2021,0.209751149,18.55839627,0.249137258,7.33E-06,0.000115479,,
Status,10-07-2021,0.056636721,5.01111305,0.067271705,1.98E-06,3.12E-05,,
Bitcoin,11-07-2021,28378.00803,2510672.979,33704.53847,1,15.87454752,,
Ethereum,11-07-2021,1787.538909,158148.0149,2123.058597,0.062981631,1,,
Dogecoin,11-07-2021,0.178300881,15.7747226,0.211767821,6.29E-06,9.98E-05,,
Binance Coin,11-07-2021,267.4703715,23663.76927,317.6743561,0.009423974,0.149621887,,
Nano,11-07-2021,3.658811921,323.7041942,4.345568125,0.000128927,0.002047064,,
Litecoin,11-07-2021,113.0906619,10005.41224,134.3176928,0.003986631,0.063317666,,
Dash,11-07-2021,108.3524855,9586.213987,128.6901643,0.00381766,0.06061196,,
Swipe,11-07-2021,1.618120325,143.1591313,1.921840275,5.70E-05,0.000905321,,
NEO,11-07-2021,28.78349089,2546.547056,34.18613015,0.001014149,0.016101373,,
NEM,11-07-2021,0.103225163,9.132586966,0.122600447,3.64E-06,5.78E-05,,
Cosmos,11-07-2021,12.15287561,1075.195143,14.43396108,0.000428191,0.006798271,,
Filecoin,11-07-2021,45.88556855,4059.610419,54.49825473,0.001616893,0.025672475,,
XRP,11-07-2021,0.529365046,46.83424274,0.628726461,1.87E-05,0.000296125,,
TRON,11-07-2021,0.05186643,4.588752139,0.06160172,1.83E-06,2.90E-05,,
Cardano,11-07-2021,1.129420511,99.92264278,1.341411879,3.98E-05,0.000631793,,
Chainlink,11-07-2021,15.40781687,1363.167895,18.29985233,0.000542875,0.008619073,,
Tether,11-07-2021,0.845605414,74.81281494,1.004324904,2.98E-05,0.000472953,,
Uniswap,11-07-2021,17.12966684,1515.504246,20.34489223,0.000603542,0.009582269,,
Stellar,11-07-2021,0.208091235,18.41034928,0.2471498,7.34E-06,0.000116507,,
Status,11-07-2021,0.055241732,4.887373441,0.065610562,1.95E-06,3.09E-05,,
Bitcoin,12-07-2021,28897.52628,2555237.166,34299.93802,1,16.00048914,,
Ethereum,12-07-2021,1806.321292,159722.2978,2144.014257,0.062471173,1,,
Dogecoin,12-07-2021,0.180302175,15.94305391,0.214009787,6.24E-06,9.98E-05,,
Binance Coin,12-07-2021,271.4227624,24004.32533,322.2193548,0.009391427,0.150313645,,
